,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
239,239,Original Stroopwafels,Amsterdam,"['Dutch', 'Fast Food']",240,5,$,75,"[['The best Stroopwafels ever :) !!!!', 'Tasty'], ['01/04/2018', '01/03/2018']]",/Restaurant_Review-g188590-d9607846-Reviews-Original_Stroopwafels-Amsterdam_North_Holland_Province.html,d9607846,42.93896,-74.18893
240,240,Salmuera,Amsterdam,"['South American', 'Mexican', 'Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'Central American', 'Gluten Free Options']",241,4.5,$$ - $$$,204,"[['Fabulous atmosphere, wonderful food', 'Good meal, good service, good atmosphere...'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g188590-d8076841-Reviews-Salmuera-Amsterdam_North_Holland_Province.html,d8076841,52.37311,4.8795
241,241,Pizzeria Fuoco Vivo,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",242,4.5,$$ - $$$,391,"[['Best pizza in Amsterdam', 'Amazing pizza and pannacotta'], ['11/18/2017', '11/12/2017']]",/Restaurant_Review-g188590-d1870319-Reviews-Pizzeria_Fuoco_Vivo-Amsterdam_North_Holland_Province.html,d1870319,52.37163,4.87342
242,242,Snappers,Amsterdam,"['Bar', 'European', 'International']",243,4.5,$$ - $$$,364,"[['Best Ribs and Wings EVER!!', 'Awesome bachelors party'], ['12/27/2017', '12/11/2017']]",/Restaurant_Review-g188590-d6672896-Reviews-Snappers-Amsterdam_North_Holland_Province.html,d6672896,52.36237,4.86645
243,243,Blushing Amsterdam,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",244,4,$$ - $$$,542,"[['Not bad, but didnt feel any athmosphere in...', 'Lovely place and quality food'], ['12/19/2017', '12/07/2017']]",/Restaurant_Review-g188590-d8530801-Reviews-Blushing_Amsterdam-Amsterdam_North_Holland_Province.html,d8530801,52.35874,4.88048
244,244,Auberge Jean & Marie,Amsterdam,"['French', 'European', 'Wine Bar', 'Vegetarian Friendly', 'Gluten Free Options']",245,4.5,$$ - $$$,99,"[['Recommended', ""It's not just the food""], ['01/04/2018', '12/13/2017']]",/Restaurant_Review-g188590-d8800296-Reviews-Auberge_Jean_Marie-Amsterdam_North_Holland_Province.html,d8800296,52.35474,4.88917
245,245,Corner Bakery Amsterdam,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",246,4.5,$$ - $$$,210,"[['Fully loaded Sunday breakfast', 'Delicious American pancakes'], ['01/07/2018', '12/29/2017']]",/Restaurant_Review-g188590-d6634960-Reviews-Corner_Bakery_Amsterdam-Amsterdam_North_Holland_Province.html,d6634960,52.3621,4.86437
246,246,Cafe P96,Amsterdam,"['Bar', 'Cafe', 'Pub', 'Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options']",247,4.5,$,171,"[['Great place for a beer!', 'Friendly cafe /bar'], ['12/02/2017', '11/29/2017']]",/Restaurant_Review-g188590-d3807244-Reviews-Cafe_P96-Amsterdam_North_Holland_Province.html,d3807244,52.37709,4.88501
247,247,The Butcher,Amsterdam,"['American', 'Fast Food', 'Vegetarian Friendly']",248,4,$$ - $$$,650,"[['Nice burgers but...', 'Really good burger'], ['01/10/2018', '12/16/2017']]",/Restaurant_Review-g188590-d3606493-Reviews-The_Butcher-Amsterdam_North_Holland_Province.html,d3606493,52.37223,4.8892
248,248,Ristorante Due Napoletani,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",249,4.5,$$ - $$$,202,"[['A little bit of Naples in Amsterdam', 'Warm and friendly'], ['01/09/2018', '12/31/2017']]",/Restaurant_Review-g188590-d4040691-Reviews-Ristorante_Due_Napoletani-Amsterdam_North_Holland_Province.html,d4040691,52.35422,4.88642
