,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
621,621,Tony's NY City Bagels,Amsterdam,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",622,4.5,$,111,"[['Good variety of Bagels And coffee', 'Great place for breakfast & lunch!!'], ['11/06/2017', '09/17/2017']]",/Restaurant_Review-g188590-d2403072-Reviews-Tony_s_NY_City_Bagels-Amsterdam_North_Holland_Province.html,d2403072,52.36898,4.90267
622,622,Trattoria Fantasia,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",623,4,$$ - $$$,270,"[['Great place to drop in on', 'Nice place to dine away from the masses'], ['10/28/2017', '09/30/2017']]",/Restaurant_Review-g188590-d2324334-Reviews-Trattoria_Fantasia-Amsterdam_North_Holland_Province.html,d2324334,52.36428,4.88124
623,623,Carbon,Amsterdam,"['Steakhouse', 'Bar', 'Barbecue', 'European']",624,4.5,$$ - $$$,78,"[[""Amsterdam's most delicious grill room rest..."", 'Lovely'], ['12/12/2017', '11/17/2017']]",/Restaurant_Review-g188590-d7720817-Reviews-Carbon-Amsterdam_North_Holland_Province.html,d7720817,52.35188,4.90313
624,624,Villa Zeezicht,Amsterdam,"['Dutch', 'Cafe', 'European']",625,4,$$ - $$$,315,"[['Charming restaurant', 'Comfortable cafe where you feel like one o...'], ['11/10/2016', '11/02/2016']]",/Restaurant_Review-g188590-d1821592-Reviews-Villa_Zeezicht-Amsterdam_North_Holland_Province.html,d1821592,52.31083,4.93882
625,625,Grannies,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly']",626,4.5,$$ - $$$,94,"[['My Happy Place', 'Breakfast'], ['12/16/2017', '12/03/2017']]",/Restaurant_Review-g188590-d3783180-Reviews-Grannies-Amsterdam_North_Holland_Province.html,d3783180,52.35105,4.84976
626,626,Juice by Nature,Amsterdam,"['Healthy', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",627,4.5,$$ - $$$,44,"[['A healthy option', 'Yay for healthy'], ['12/30/2017', '12/12/2017']]",/Restaurant_Review-g188590-d11688364-Reviews-Juice_by_Nature-Amsterdam_North_Holland_Province.html,d11688364,52.37427,4.89661
627,627,Stek Amsterdam,Amsterdam,"['French', 'Cafe', 'European', 'Healthy', 'Dutch', 'Vegetarian Friendly', 'Vegan Options']",628,4.5,$$ - $$$,73,"[['Cute place', 'Perfect for brunch'], ['10/29/2017', '09/17/2017']]",/Restaurant_Review-g188590-d6847470-Reviews-Stek_Amsterdam-Amsterdam_North_Holland_Province.html,d6847470,52.35622,4.91122
628,628,Bar Langendijk,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Central European', 'Vegetarian Friendly']",629,4,$$ - $$$,226,"[['Pleasant Surprise', 'Just a beer'], ['01/04/2018', '12/16/2017']]",/Restaurant_Review-g188590-d2032311-Reviews-Bar_Langendijk-Amsterdam_North_Holland_Province.html,d2032311,52.36694,4.92584
629,629,"DenC, Dik en Cunningham",Amsterdam,"['French', 'Gluten Free Options']",630,4.5,$$ - $$$,116,"[['Excellent dinning in the city center', 'A joy every time you step into the door'], ['12/01/2017', '11/09/2017']]",/Restaurant_Review-g188590-d5426884-Reviews-DenC_Dik_en_Cunningham-Amsterdam_North_Holland_Province.html,d5426884,40.47273,-80.92006
630,630,Alberto's la Forge,Amsterdam,['Steakhouse'],631,4,$$ - $$$,200,"[['great family restaurant', 'Efficient service'], ['01/01/2018', '10/16/2017']]",/Restaurant_Review-g188590-d940526-Reviews-Alberto_s_la_Forge-Amsterdam_North_Holland_Province.html,d940526,52.36389,4.88382
631,631,Dignita Hoftuin,Amsterdam,"['Healthy', 'Cafe', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",632,4,$$ - $$$,127,"[['Nice location & nice atmosphere', 'carrot cake experience'], ['09/13/2017', '09/03/2017']]",/Restaurant_Review-g188590-d6023677-Reviews-Dignita_Hoftuin-Amsterdam_North_Holland_Province.html,d6023677,52.36608,4.90374
632,632,Marits Eetkamer,Amsterdam,"['European', 'Dutch', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",633,5,$$ - $$$,82,"[['A dinner room to return to', 'Truly gourmet vegetarian dining'], ['11/04/2017', '10/22/2017']]",/Restaurant_Review-g188590-d4339608-Reviews-Marits_Eetkamer-Amsterdam_North_Holland_Province.html,d4339608,52.3594,4.91377
633,633,Argentinos San Thomas - MG,Amsterdam,"['Steakhouse', 'Argentinean', 'Grill']",634,4,$$ - $$$,333,"[['Nice Argentinian restaurant', 'Good meat and food but not a great service'], ['08/26/2017', '12/25/2017']]",/Restaurant_Review-g188590-d3589341-Reviews-Argentinos_San_Thomas_MG-Amsterdam_North_Holland_Province.html,d3589341,52.37788,4.89652
634,634,Radijs,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly']",635,4.5,$$ - $$$,109,"[['Great food, great service', 'Great lunch spot - highly recommend'], ['12/19/2017', '11/03/2017']]",/Restaurant_Review-g188590-d2555504-Reviews-Radijs-Amsterdam_North_Holland_Province.html,d2555504,52.37114,4.85702
